outreach_id,request_group,source_request_id,subject,recipient_type,channel,contact,status,sent_date,follow_up_date,response_date,response_source,owner,blocker,next_step
out-001,registry,registry-full,Актуальный реестр 46 ТОС БГО,администрация или координатор,,,draft,,,,,,"не определены официальный адресат и канал","определить адресат и направить полный запрос реестра"
out-002,priority_card,ivanovka,ТОС Ивановка,представитель ТОС,через координатора администрацию или жителей,,draft,,,,,,"рабочий контакт не найден","найти канал и направить персональный запрос"
out-003,priority_card,podstepki,ТОС Подстёпки,представитель ТОС,через координатора администрацию или жителей,,draft,,,,,,"рабочий контакт не найден","найти канал и направить персональный запрос"
out-004,priority_card,gubari,ТОС Губари,представитель ТОС,email и открытое сообщество,,draft,,,,,,"отправка не зафиксирована","направить запрос через доступный канал и записать дату"
out-005,priority_card,tancyrey,ТОС Танцырей,представитель ТОС,email и сообщество ОК,,draft,,,,,,"отправка не зафиксирована","направить запрос через доступный канал и записать дату"
out-006,candidate_registry,cand-req-001,ТОС Горелка,официальный держатель реестра,,,draft,,,,,,"нет официального ответа и канала отправки","определить адресат и направить запрос статуса"
out-007,candidate_registry,cand-req-002,ТОС Хоперский берег,официальный держатель реестра,,,draft,,,,,,"нет официального ответа и канала отправки","определить адресат и направить запрос статуса"
out-008,candidate_registry,cand-req-003,ТОС Тюковка,официальный держатель реестра,,,draft,,,,,,"нет официального ответа и канала отправки","определить адресат и направить запрос статуса"
out-009,candidate_registry,cand-req-004,ТОС Ручей,официальный держатель реестра,,,draft,,,,,,"не проверен полный документ и нет ответа","проверить документ или направить запрос статуса"
out-010,candidate_registry,cand-req-005,ТОС Просторный,официальный держатель реестра,,,draft,,,,,,"есть только вторичная публикация","сверить официальный раздел или направить запрос статуса"
out-011,project_result,req-2026-001,Официальные итоги конкурса ТОС 2026,организатор конкурса,,,resolved,,,2026-06-24,https://obraz36.ru/site_data/s273/2026/2026/%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B8%20%D0%A2%D0%9E%D0%A1%202026.pdf,,,"задача решена без исходящего обращения; официальный протокол сохранён как источник"
out-012,project_result,req-2026-002,Проект Миролюбия Играй и побеждай,представитель ТОС,,,draft,,,,,,"не подтверждены сроки и реализация","найти канал и запросить статус реализации проекта"
out-013,project_result,req-2026-003,Проект Махровки Источник жизни,представитель ТОС,,,draft,,,,,,"нет прямого подтверждения итога и дальнейших планов","найти канал и запросить подтверждение итога"
out-014,project_result,req-2026-004,Проект Губарей Свеча памяти,представитель ТОС,email и открытое сообщество,,draft,,,,,,"нет прямого подтверждения итога и дальнейших планов","использовать доступный канал и записать дату"
out-015,project_result,req-2026-005,Проект Петровского Ограждение кладбища,представитель ТОС,,,draft,,,,,,"нет прямого подтверждения итога и дальнейших планов","найти канал и запросить подтверждение итога"
out-016,project_result,req-2026-006,Проект Макашевки Благоустройство мемориала,представитель ТОС,,,draft,,,,,,"нет прямого подтверждения итога и дальнейших планов","найти канал и запросить подтверждение итога"
