area,page_or_file,check,expected_result,status,owner,next_step
Навигация,новая или обновлённая страница,страница открывается по основному URL,HTTP 200 и корректный заголовок,pending,,проверить после деплоя
Ссылки,новая или обновлённая страница,все внутренние ссылки ведут на существующие страницы,нет 404 и пустых якорей,pending,,исправить ссылку или добавить недостающую страницу
Открытые данные,CSV или JSON,файл скачивается напрямую и содержит заголовки/валидный JSON,данные читаются без ручной правки,pending,,проверить кодировку и структуру
Карточка ТОС,toses.json и публичная карточка,статус verified не установлен без полного набора доказательств,verified только при 6 из 6 условий,pending,,сверить с матрицей готовности
Персональные данные,контакты фото имена,есть разрешение на открытую публикацию,неподтверждённые данные не опубликованы,pending,,проверить publication-consent
SEO,страница,есть title description canonical og:title og:description,метаданные соответствуют содержанию,pending,,обновить head страницы
Индексация,рабочие страницы,"служебные workflow-страницы имеют noindex,follow",рабочие черновики не попадают в индекс,pending,,проверить meta robots
Поиск,page_index и поиск,важные публичные страницы включены в навигацию или индекс,страницу можно найти через сайт,pending,,обновить индекс при необходимости
Адаптивность,страница,основной контент читается на мобильной ширине,нет обрезки кнопок и текста,pending,,проверить вручную в браузере
Деплой,GitHub Pages,последний commit опубликован на домене,домен показывает новую версию,pending,,проверить после завершения сборки
