item,field,type,required_before_publish,acceptable_confirmation,do_not_publish_if,next_step
"Название ТОС","official_name","fact","да","подтверждение председателя, актива, администрации или официальный документ","есть разные варианты названия без источника","уточнить название и источник"
"Территория","territory","fact","да","подтверждение границ или зоны работы от источника","территория указана приблизительно и может ввести в заблуждение","оставить краткое описание и отметить уточнение"
"Председатель или ответственное лицо","contact_person","personal_data","да","прямое подтверждение имени и роли, а также разрешение на открытую публикацию","нет подтверждения публичности имени или роли","не публиковать имя; указать, что контакт уточняется"
"Телефон","phone","personal_contact","да","прямое разрешение на открытую публикацию конкретного номера","номер найден в старом документе, переписке или неофициальном источнике без разрешения","не публиковать номер; запросить публичный канал"
"Email","email","personal_or_public_contact","да","подтверждение, что адрес можно разместить на сайте","адрес личный и нет разрешения на открытую публикацию","не публиковать email; запросить общий или публичный адрес"
"Соцсеть или группа","social","public_contact","да","подтверждение, что это актуальная публичная страница ТОС или актива","страница неактивна, личная или связь с ТОС не подтверждена","оставить без ссылки до проверки"
"Фото территории","photo","media","да","фото передано председателем, активом или есть понятное разрешение на публикацию","неясно, кто автор, где сделано фото или можно ли его использовать","не публиковать фото; запросить оригиналы"
"Логотип","logo","media","да","логотип передан представителем ТОС или есть подтверждение использования","логотип найден в сети без подтверждения","использовать временную заглушку"
"Проекты и результаты","projects_done","fact","да","подтверждение факта, даты, места и результата","есть только устный слух или неподтверждённая сумма","публиковать как запрос информации, не как факт"
"Дата проверки","verified_at","metadata","да","дата ответа, документа, формы или ручной проверки","дата не указана","оставить статус requires_verification"
