requirement_id,sequence,requirement_status,requirement_group,requirement_title,minimum_requirement,verification_method,criticality,candidate_a_result,candidate_b_result,candidate_c_result,selected_candidate_code,owner_role_code,reviewer_role_code,evidence_ref,blocker,next_step
access_control,1,draft,access,Управление доступом,"Доступ выдаётся по ролям и принципу минимально необходимых прав; общие учётные записи не используются","Проверить модель ролей, выдачу и отзыв доступа на тестовом обезличенном контуре",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не определены роли владельца и пользователей реестра","описать обезличенные роли и проверить возможность отдельного доступа к чтению, добавлению, экспорту и удалению"
multi_factor_authentication,2,draft,access,Многофакторная аутентификация,"Для привилегированных и редакторских ролей доступна обязательная многофакторная аутентификация","Проверить включение и принудительное применение MFA без использования реальных учётных данных",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не определены категории учётных записей, для которых MFA обязательно","зафиксировать минимальный перечень ролей с обязательной MFA и способ проверки настройки"
audit_log,3,draft,accountability,Журнал действий,"Система фиксирует входы, изменение прав, добавление, просмотр, экспорт, изменение и удаление записей","Проверить полноту журнала на обезличенных тестовых событиях и возможность выгрузки для проверки",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не определены обязательные события и срок доступности журнала","согласовать перечень событий журнала и критерии достаточности для организационной проверки"
encryption,4,draft,security,Шифрование,"Данные защищены при передаче и хранении; резервные копии не должны быть слабее основного хранилища","Проверить документированные настройки защиты и невозможность открытого доступа к тестовым файлам",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не подтверждены требования к шифрованию и управлению ключами","передать специалисту нейтральный перечень вопросов о защите данных, резервных копий и ключей"
backup_restore,5,draft,resilience,Резервирование и восстановление,"Предусмотрены резервные копии, проверяемое восстановление и защита от незаметной потери или перезаписи","Выполнить тест восстановления только на обезличенных данных и зафиксировать результат вне публичного репозитория",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не определены частота копирования, допустимая потеря данных и время восстановления","согласовать минимальные показатели резервирования и провести отдельную проверку восстановления"
export_portability,6,draft,portability,Экспорт и переносимость,"Записи и метаданные можно выгрузить в пригодном для проверки формате без привязки к одному интерфейсу","Проверить экспорт обезличенного набора, структуру метаданных и возможность контролируемого переноса",high,not_assessed,not_assessed,not_assessed,,,,,"не определён обязательный формат экспорта и состав переносимых метаданных","описать минимальный экспортный пакет и правила передачи новому владельцу хранилища"
deletion_withdrawal,7,draft,lifecycle,Удаление и отзыв,"Можно найти связанные записи, ограничить доступ, удалить или обезличить их по утверждённому процессу с журналом действий","Проверить тестовый маршрут поиска, ограничения доступа и удаления без использования реальных обращений",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не утверждены основания, роли и сроки удаления или ограничения доступа","связать критерий с будущим процессом отзыва, исправления и удаления по решению №6"
incident_response,8,draft,incident,Реагирование на инциденты,"Есть возможность быстро отозвать доступ, сохранить журнал, оценить затронутые записи и восстановить безопасную работу","Провести настольную проверку обезличенного сценария без создания реального инцидента",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не назначены роли реагирования и канал внутренней эскалации","описать минимальный сценарий обнаружения, блокировки доступа, фиксации и восстановления"
data_location_and_terms,9,draft,legal,Размещение и условия обработки,"Можно установить место хранения, участников обработки, применимые условия и порядок прекращения использования сервиса","Проверить документы и настройки только после выбора кандидата и юридической проверки",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не определены допустимые условия размещения и привлечения сторонних обработчиков","подготовить список вопросов для юридического проверяющего без выбора сервиса и правового вывода"
offboarding_and_ownership,10,draft,governance,Передача ответственности и прекращение доступа,"При смене ответственного доступ отзывается, данные и журнал передаются, а бесхозные учётные записи исключаются","Проверить обезличенный сценарий смены роли, передачи экспорта и закрытия прежнего доступа",mandatory,not_assessed,not_assessed,not_assessed,,,,,"не назначены владелец реестра, резервный ответственный и порядок передачи","согласовать ролевую модель, резервную ответственность и чек-лист прекращения доступа"
