field,value,status,source,public_allowed,notes
"slug","","required","official registry or confirmed source","yes","latin lowercase id for URL, for example tos-name"
"official_name","","required","official registry or chairperson confirmation","yes","full official TOS name"
"display_name","","required","confirmed source","yes","short public name for headings"
"type","","required","official registry","yes","городской or сельский"
"settlement","","required","official registry or chairperson confirmation","yes","city, village or settlement"
"territory_description","","required","official registry or chairperson confirmation","yes","publish only general territory description, not personal home addresses"
"boundaries","","optional","official registry or municipal document","yes","use only confirmed boundaries"
"chairperson_name","","required_for_verified","open source or explicit consent","yes/no","do not publish full name without public source or consent"
"public_phone","","optional","explicit consent or already public source","yes/no","leave blank if phone is only for internal contact"
"public_email","","optional","explicit consent or already public source","yes/no","leave blank if email is only for correspondence"
"social_link","","optional","open source","yes","check that the page belongs to this TOS"
"description","","required","chairperson, active group or public source","yes","short factual description without invented claims"
"logo_file","","optional","file owner permission","yes/no","use only real logo or approved temporary mark"
"photo_files","","optional","file owner permission","yes/no","avoid close-up portraits without consent"
"projects","","optional","public source or confirmed answer","yes","include year, result and source"
"needs","","optional","confirmed answer","yes","publish only current needs"
"verification_status","requires_verification","required","editorial decision","yes","requires_verification, partially_verified or verified"
"verified_at","","required_for_verified","editorial decision","yes","date of confirmation"
"verified_by","","required_for_verified","editorial decision","yes","who confirmed data"
"source_url_or_note","","required","official registry, public source or response","yes","source must be traceable"
