"ТОС";"slug";"населённый пункт";"председатель";"приоритет";"заполненность";"что уточнить";"рекомендации";"карточка";"форма обновления";"короткое сообщение"
"Ивановка";"ivanovka";"п. Ивановка";"Меркурьев Андрей Петрович";"Высокий";"63";"Телефон, Email, Соцсети, Логотип, Истории результата, Потребности";"уточнить телефон председателя или ответственного; добавить email для связи; добавить группу или страницу в соцсетях; подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/ivanovka/";"https://tosborisoglebsk.ru/update-tos/?tos=ivanovka&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Ивановка»: Телефон, Email, Соцсети, Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Подстёпки";"podstepki";"п. Подстёпки";"Кузнецова Елена Викторовна";"Высокий";"63";"Телефон, Email, Соцсети, Логотип, Истории результата, Потребности";"уточнить телефон председателя или ответственного; добавить email для связи; добавить группу или страницу в соцсетях; подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/podstepki/";"https://tosborisoglebsk.ru/update-tos/?tos=podstepki&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Подстёпки»: Телефон, Email, Соцсети, Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Губари";"gubari";"с. Губари";"Зюзина Татьяна Владимировна";"Высокий";"81";"Телефон, Логотип, Потребности";"уточнить телефон председателя или ответственного; подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/gubari/";"https://tosborisoglebsk.ru/update-tos/?tos=gubari&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Губари»: Телефон, Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Танцырей";"tancyrey";"с. Танцырей";"Чернышова О. Г.";"Высокий";"81";"Телефон, Логотип, Потребности";"уточнить телефон председателя или ответственного; подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/tancyrey/";"https://tosborisoglebsk.ru/update-tos/?tos=tancyrey&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Танцырей»: Телефон, Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Дзержинского";"dzerzhinskogo";"г. Борисоглебск";"Калашникова Светлана Александровна";"Средний";"63";"Email, Соцсети, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; добавить группу или страницу в соцсетях; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/dzerzhinskogo/";"https://tosborisoglebsk.ru/update-tos/?tos=dzerzhinskogo&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Дзержинского»: Email, Соцсети, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Знамение";"znamenie";"г. Борисоглебск";"Корякин Антон Михайлович";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/znamenie/";"https://tosborisoglebsk.ru/update-tos/?tos=znamenie&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Знамение»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Ипас";"ipas";"с. Чигорак";"Павленко Игорь Фёдорович";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/ipas/";"https://tosborisoglebsk.ru/update-tos/?tos=ipas&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Ипас»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Калинка";"kalinka";"п. Калинино";"Кабаргина Татьяна Викторовна";"Средний";"69";"Email, Соцсети, Логотип, Истории результата, Потребности";"добавить email для связи; добавить группу или страницу в соцсетях; подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/kalinka/";"https://tosborisoglebsk.ru/update-tos/?tos=kalinka&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Калинка»: Email, Соцсети, Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Мечта";"mechta";"с. Чигорак";"Яценко Елена Александровна";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/mechta/";"https://tosborisoglebsk.ru/update-tos/?tos=mechta&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Мечта»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Первомайский";"pervomayskiy";"с. Чигорак";"Бозоров Рустам Сангиматович";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/pervomayskiy/";"https://tosborisoglebsk.ru/update-tos/?tos=pervomayskiy&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Первомайский»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
