rule_id,sequence,rule_status,domain_code,rule_title,draft_requirement_codes,verification_question_codes,decision_value_code,decision_owner_role,legal_reviewer_role,approved_at,evidence_ref,implementation_status,implementation_ref,blocker,next_step
retention_start_trigger,1,draft,retention,Определить момент начала хранения,record_created;purpose_started;decision_recorded,which_event_starts_retention;how_event_is_recorded,,,,,,not_started,,,не определено событие начала срока хранения,согласовать перечень событий начала хранения для каждой категории закрытых записей
retention_end_trigger,2,draft,retention,Определить окончание хранения и пересмотр,period_end;purpose_end;consent_withdrawal;case_closed,which_event_ends_retention;when_exception_review_is_required,,,,,,not_started,,,не выбраны сроки и основания продления или прекращения хранения,подготовить таблицу категорий записей и вопросов о сроках для оператора и юридического проверяющего
least_privilege_access,3,draft,access,Ограничить доступ минимально необходимыми полномочиями,role_based_access;need_to_know;separation_of_duties,which_roles_need_read;which_roles_need_change;which_roles_need_export,,,,,,not_started,,,не утверждена модель ролей и объём полномочий,описать обезличенные функциональные роли без назначения конкретных людей
access_review_and_revocation,4,draft,access,Пересматривать и отзывать доступ,periodic_review;event_driven_review;access_revocation,what_triggers_review;who_confirms_revocation;how_revocation_is_evidenced,,,,,,not_started,,,не определены периодичность пересмотра и порядок отзыва доступа,согласовать события пересмотра доступа и минимальный обезличенный журнал решений
backup_scope_and_separation,5,draft,backup,Определить состав и изоляцию резервных копий,backup_scope;separate_location;access_separation,which_records_are_backed_up;how_backup_access_is_separated;how_copy_inventory_is_kept,,,,,,not_started,,,не выбраны состав резервирования и модель изоляции копий,сопоставить требования с фактическими возможностями выбранного закрытого хранилища
restore_rehearsal,6,draft,backup,Проверять восстановление из резервной копии,restore_test;integrity_check;recovery_record,how_restore_is_tested;what_success_means;where_result_is_recorded,,,,,,not_started,,,не утверждены периодичность и критерии успешного восстановления,подготовить сценарий тестового восстановления без использования реальных персональных данных
secure_deletion,7,draft,deletion,Удалять записи и производные копии контролируемо,primary_deletion;backup_expiry;export_cleanup;deletion_record,which_copies_are_affected;how_completion_is_checked;which_exception_blocks_deletion,,,,,,not_started,,,не определены метод удаления и порядок работы с резервными и экспортными копиями,описать точки хранения и вопросы для проверки удаления без выполнения реального удаления
registry_export_and_handover,8,draft,continuity,Обеспечить контролируемую передачу реестра,structured_export;integrity_manifest;access_handover;source_cleanup,what_is_exported;how_integrity_is_checked;how_old_access_is_revoked,,,,,,not_started,,,не утверждены формат экспорта и порядок смены владельца реестра,подготовить нейтральный чек-лист передачи после выбора хранилища и владельца
incident_classification_and_containment,9,draft,incident,Классифицировать и локализовать инцидент,incident_intake;severity_assessment;access_freeze;preserve_evidence,what_counts_as_incident;who_can_contain;what_must_not_be_destroyed,,,,,,not_started,,,не определены уровни инцидентов и полномочия на срочное ограничение доступа,подготовить перечень сценариев инцидента для организационной и юридической проверки
incident_response_and_closure,10,draft,incident,Зафиксировать реагирование и закрытие инцидента,impact_review;corrective_action;notification_review;closure_record,who_reviews_impact;when_notification_is_considered;what_closes_incident,,,,,,not_started,,,не утверждены маршрут уведомления критерии закрытия и последующий контроль,согласовать обезличенный состав журнала инцидента и порядок проверки корректирующих действий
