tos_slug,wave,priority,score,template_id,request_status,recipient_role,channel_type,owner_role,sent_date,follow_up_date,response_date,reviewed_at,reviewed_by_role,chairperson_status,field_types_to_keep,field_types_to_remove,preferred_public_channel_type,personal_profile_classification,factual_source_ref,decision_status,blocker,next_step
bogana,1,P0-1,99,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
mahrovka,1,P0-1,99,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
pobeda,1,P0-1,99,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
ulyanovka,1,P0-1,99,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
vostochnyy,1,P0-1,99,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
ipas,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
mayak,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
mechta,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
mirolyubie,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
pervomayskiy,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
port-artur,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
uyutnyy,1,P0-1,81,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
severnyy-39,1,P0-1,76,publication-basis-wave-1,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
gubari,2,P0-2,63,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
tancyrey,2,P0-2,63,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
chkalovec,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
dzerzhinskogo,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
kalinka,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
petrovskoe,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
prostornyy,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
tretyaki,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
znamenie,2,P0-2,58,publication-basis-wave-2,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
ivanovka,3,P0-3,45,publication-basis-wave-3,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
podstepki,3,P0-3,45,publication-basis-wave-3,draft,,,,,,,,,,,,,,,not_reviewed,"не определены роль получателя, канал и ответственный","определить безопасный канал вне публичного репозитория и назначить роль ответственного"
