item_id,group,selectors_or_area,current_state,risk,safe_action,status
css-001,tokens,":root, [data-theme=dark]","Переменные и тема сохранены первым логическим разделом; значения не менялись","Средний: изменение переменных сразу меняет весь сайт","Оставить первым блоком, не менять значения без визуальной проверки",done
css-002,base,"*, html, body, a, focus-visible, .container, .skip-link","Базовые стили и доступность выделены в отдельный читаемый раздел","Низкий: структура понятна, но влияет на весь документ","Сохранять порядок правил и проверять focus/skip-link после содержательных изменений",done
css-003,header,".header, .header-inner, .brand, .nav, .actions, .menu-btn","Шапка, меню, бренд и действия находятся в отдельном разделе","Средний: используется почти на всех страницах","Тестировать на десктопе и мобильном меню после любых изменений",done
css-004,buttons,".btn, .btn.primary, .chips, .chip, .hero-actions, .card-actions","Кнопки, чипы и группы действий выделены без изменения API классов","Средний: применяются в большинстве рабочих страниц","Сохранять API классов и проверять контрольные страницы",done
css-005,hero,".hero, .hero-card, .hero-grid, .eyebrow, h1, .lead","Hero-правила выделены в отдельный раздел; каскад и значения сохранены","Средний: влияет на первое впечатление и адаптивность","Проверять 620/900px и обе темы после содержательных изменений",done
css-006,grid-cards,".section, .section-head, .grid, .card, .card-inner, .wide, .half, .full","Секции, сетка и карточки собраны в читаемый раздел без перестановки правил","Высокий: используется почти везде","Не менять сетку без проверки каталога, главной, новостей и рабочих страниц",done
css-007,content,".prose, .notice, .table, .badge-row, .tag, .meta, .source, .toc","Текстовые компоненты, уведомления и таблицы выделены без изменения специфичности","Средний: рабочие страницы зависят от этих классов","Сохранять специфичность и проверять таблицы, notices и длинные ссылки",done
css-008,home,".home-panel, .home-focus, .portal-strip, .home-compact, .highlight-card","Специальные блоки главной находятся в отдельном логическом разделе","Средний: зависит от структуры главной","Проверять главную в светлой и тёмной теме после изменений",done
css-009,responsive,"@media(max-width:900px), @media(max-width:620px)","Оба адаптивных диапазона сохранены вместе в отдельном разделе","Высокий: легко сломать мобильную версию","Проверять размеры 360, 620, 900 и 1180 и открытое мобильное меню",done
css-010,print,".print-only, @media print","Печатные правила выделены в завершающий раздел stylesheet","Средний: используется для чек-листов и документов","Проверять print-preview после изменений карточек и кнопок",done
css-011,maintainability,"assets/css/styles.css","Stylesheet отформатирован в 14 логических разделов; канонический SHA-256 защищён fingerprint-аудитом","Средний: содержательные изменения требуют осознанного обновления fingerprint","Менять значения только отдельным PR с объяснением, новым fingerprint и visual comparison",done
css-012,regression,"Все публичные и noindex страницы","Все 14 контрольных сценариев имеют статус passed и локальные evidence-файлы в docs/visual-baseline","Высокий: визуальная ошибка может появиться в разных разделах","После любого CSS-изменения запускать capture и сравнение с утверждённым baseline",done
