tos,slug,evidence_item,source_type,source_reference,received_date,public_permission,media_permission,verification_status,reviewer,next_step,notes
"Ивановка","ivanovka","официальное название","не получено","","","нет","не требуется","missing","","запросить подтверждение","не повышать статус без источника"
"Ивановка","ivanovka","территория и границы","не получено","","","нет","не требуется","missing","","запросить подтверждение",""
"Ивановка","ivanovka","председатель или ответственное лицо","не получено","","","нет","не требуется","missing","","запросить разрешение на открытую публикацию",""
"Ивановка","ivanovka","телефон email или публичная страница","не получено","","","нет","не требуется","missing","","запросить публичный канал связи",""
"Ивановка","ivanovka","фото и логотип","не получено","","","нет","нет","missing","","запросить файлы и разрешение",""
"Ивановка","ivanovka","дата и источник проверки","не получено","","","нет","не требуется","missing","","зафиксировать после ответа",""
"Подстёпки","podstepki","официальное название","не получено","","","нет","не требуется","missing","","запросить подтверждение","не повышать статус без источника"
"Подстёпки","podstepki","территория и границы","не получено","","","нет","не требуется","missing","","запросить подтверждение",""
"Подстёпки","podstepki","председатель или ответственное лицо","не получено","","","нет","не требуется","missing","","запросить разрешение на открытую публикацию",""
"Подстёпки","podstepki","телефон email или публичная страница","не получено","","","нет","не требуется","missing","","запросить публичный канал связи",""
"Подстёпки","podstepki","фото и логотип","не получено","","","нет","нет","missing","","запросить файлы и разрешение",""
"Подстёпки","podstepki","дата и источник проверки","не получено","","","нет","не требуется","missing","","зафиксировать после ответа",""
"Губари","gubari","официальное название","не получено","","","нет","не требуется","missing","","подтвердить через имеющийся канал связи","не повышать статус без источника"
"Губари","gubari","территория и границы","не получено","","","нет","не требуется","missing","","подтвердить через имеющийся канал связи",""
"Губари","gubari","председатель или ответственное лицо","не получено","","","нет","не требуется","missing","","запросить разрешение на открытую публикацию",""
"Губари","gubari","телефон email или публичная страница","не получено","","","нет","не требуется","missing","","подтвердить публичность канала",""
"Губари","gubari","фото и логотип","не получено","","","нет","нет","missing","","запросить файлы и разрешение",""
"Губари","gubari","дата и источник проверки","не получено","","","нет","не требуется","missing","","зафиксировать после ответа",""
"Танцырей","tancyrey","официальное название","не получено","","","нет","не требуется","missing","","подтвердить через имеющийся канал связи","не повышать статус без источника"
"Танцырей","tancyrey","территория и границы","не получено","","","нет","не требуется","missing","","подтвердить через имеющийся канал связи",""
"Танцырей","tancyrey","председатель или ответственное лицо","не получено","","","нет","не требуется","missing","","запросить разрешение на открытую публикацию",""
"Танцырей","tancyrey","телефон email или публичная страница","не получено","","","нет","не требуется","missing","","подтвердить публичность канала",""
"Танцырей","tancyrey","фото и логотип","не получено","","","нет","нет","missing","","запросить файлы и разрешение",""
"Танцырей","tancyrey","дата и источник проверки","не получено","","","нет","не требуется","missing","","зафиксировать после ответа",""
