tos_name,media_type,file_name_or_link,source,source_date,author_or_owner,publication_permission,permission_scope,person_visible,personal_data_risk,status,next_step
Ивановка,photo,,,,,,не подтверждено,не известно,не проверено,missing,"запросить 2-3 фото территории и письменное разрешение на публикацию"
Ивановка,logo,,,,,,не подтверждено,нет,не проверено,missing,"уточнить есть ли официальный логотип ТОС; если нет — оставить плейсхолдер"
Подстёпки,photo,,,,,,не подтверждено,не известно,не проверено,missing,"запросить фото территории проектов или собраний без персональных данных либо с разрешением"
Подстёпки,logo,,,,,,не подтверждено,нет,не проверено,missing,"уточнить есть ли официальный логотип ТОС; без подтверждения не создавать фиктивный знак"
Губари,photo,,,,,,не подтверждено,не известно,не проверено,missing,"запросить фото территории и уточнить автора/правообладателя"
Губари,logo,,,,,,не подтверждено,нет,не проверено,missing,"запросить логотип или подтверждение что логотип не используется"
Танцырей,photo,,,,,,не подтверждено,не известно,не проверено,missing,"запросить фото территории и разрешение на открытую публикацию"
Танцырей,logo,,,,,,не подтверждено,нет,не проверено,missing,"запросить логотип или согласовать временный текстовый плейсхолдер"
Горелка,photo,,,,,,не подтверждено,не известно,не проверено,blocked,"не запрашивать медиа до подтверждения ТОС в официальном реестре"
Хоперский берег,photo,,,,,,не подтверждено,не известно,не проверено,blocked,"не публиковать медиа до подтверждения официального названия и статуса"
Тюковка,photo,,,,,,не подтверждено,не известно,не проверено,blocked,"сначала подтвердить наличие ТОС в официальном реестре"
Ручей,photo,,,,,,не подтверждено,не известно,не проверено,blocked,"низкая уверенность кандидата; медиа не собирать до подтверждения"
