path,category,risk,direct_cherry_pick_allowed,conflicts_with_current_main,decision,replacement_or_evidence,reason
.github/workflows/admin-schema.yml,admin_feature_candidate,high,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
.github/workflows/generate-tos-pages.yml,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
.github/workflows/import-vk-posts.yml,obsolete_vk_import,medium,false,false,keep_removed,main/#9,Старый импорт и дублирующий workflow признаны устаревшими; возвращать их нельзя.
.github/workflows/visual-baseline.yml,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
actions-check/index.html,stale_status_or_documentation,medium,false,true,rewrite_from_current_state,current main,Статус и отчёты старой ветки описывают уже изменившееся состояние проекта.
admin/admin-dashboard.js,admin_feature_candidate,medium,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
admin/admin-done-dataset.js,admin_feature_candidate,medium,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
admin/admin-export-tools.js,admin_feature_candidate,medium,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
admin/admin-history.js,admin_feature_candidate,medium,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
admin/admin-index-ready.html,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
admin/admin-logo-bulk.js,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
admin/admin-mass-all-autofill.js,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
admin/admin-mass-autofill.js,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
admin/admin-mass-fill-all.js,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
admin/admin.js,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
admin/index.html,admin_surface_superseded,high,false,true,use_replacement_pr,#256,Старая admin-поверхность заменена отдельным пакетом безопасности; перенос файла запрещён.
assets/css/styles.css,css_source_superseded,high,false,true,use_replacement_pr,#255,Старое форматирование CSS заменено fingerprint- и visual-проверенным пакетом.
assets/js/home-stats.js,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
data-requests/priority-tos/index.html,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
data-requests/tos-registry-request/index.html,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
data/accessibility_performance_report.json,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
data/actions_diagnostics.csv,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
data/admin_capability_inventory.csv,admin_feature_candidate,medium,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
data/autonomous_improvement_plan.csv,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
data/css_maintenance_inventory.csv,css_source_superseded,high,false,true,use_replacement_pr,#255,Старое форматирование CSS заменено fingerprint- и visual-проверенным пакетом.
data/css_regression_matrix.csv,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
data/domain_access_check.csv,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
data/page_index.json,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
data/site_health.json,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
data/user_journey_matrix.csv,independently_adopted_user_journey,medium,false,false,keep_current_main,main/#9,Матрица пользовательских маршрутов независимо присутствует в актуальном контуре.
docs/ADMIN-AUDIT-2026-07-13.md,admin_feature_candidate,medium,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
docs/AUDIT-2026-07-13.md,stale_status_or_documentation,medium,false,true,rewrite_from_current_state,current main,Статус и отчёты старой ветки описывают уже изменившееся состояние проекта.
docs/AUTONOMOUS-WORK-PLAN.md,stale_status_or_documentation,medium,false,true,rewrite_from_current_state,current main,Статус и отчёты старой ветки описывают уже изменившееся состояние проекта.
docs/CSS-MAINTENANCE.md,css_source_superseded,high,false,true,use_replacement_pr,#255,Старое форматирование CSS заменено fingerprint- и visual-проверенным пакетом.
docs/DECISIONS.md,stale_status_or_documentation,medium,false,true,rewrite_from_current_state,current main,Статус и отчёты старой ветки описывают уже изменившееся состояние проекта.
docs/STATUS.md,stale_status_or_documentation,medium,false,true,rewrite_from_current_state,current main,Статус и отчёты старой ветки описывают уже изменившееся состояние проекта.
docs/USER-JOURNEY-TESTING.md,independently_adopted_user_journey,medium,false,false,keep_current_main,main/#9,Матрица пользовательских маршрутов независимо присутствует в актуальном контуре.
docs/VISUAL-BASELINE-CAPTURE.md,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/COMPARISON-2026-07-13.md,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/README.md,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-001.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-002.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-003.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-004.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-005.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-006.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-007.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-008.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-009.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-010.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-011.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-012.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-013.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/css-reg-014.png,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
docs/visual-baseline/manifest.json,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
llms.txt,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
package.json,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
projects/archive-memory/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/eco-place/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/green-route/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/green-yard/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/history-route/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/lighting/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/memorial/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/notice-board/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/playground/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/public-space/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/safe-path/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/village-stage/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/volunteer-day/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
projects/yard-navigation/index.html,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
scripts/audit_actions_check_content.js,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
scripts/audit_admin_capabilities.js,admin_feature_candidate,high,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
scripts/audit_admin_dataset_schema.js,admin_feature_candidate,high,false,true,separate_review_after_pr256,#256,Полезная функциональность старой admin-ветки требует отдельного анализа поверх новой безопасной модели.
scripts/audit_css_regression_matrix.js,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
scripts/audit_generated_page_cleanup.js,independently_adopted_generator_cleanup,high,false,false,keep_current_main,main/#9,Безопасная очистка производных страниц извлечена отдельным пакетом и защищена CI.
scripts/audit_homepage_content.js,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
scripts/audit_priority_tos_readiness.js,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
scripts/audit_project_mode.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/audit_project_mode_full.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/audit_projects_integrity.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/audit_route_governance.js,small_candidate_requires_recheck,medium,false,true,verify_then_separate_pr,none,"Небольшое изменение может быть полезным, но требует сравнения с текущим main и отдельного CI."
scripts/audit_seo.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/audit_site_health.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/audit_site_links.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/audit_user_journey_matrix.js,independently_adopted_user_journey,medium,false,false,keep_current_main,main/#9,Матрица пользовательских маршрутов независимо присутствует в актуальном контуре.
scripts/audit_visual_comparison_integration.js,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
scripts/capture_visual_baseline.js,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
scripts/cleanup_generated_collection_pages.js,independently_adopted_generator_cleanup,high,false,false,keep_current_main,main/#9,Безопасная очистка производных страниц извлечена отдельным пакетом и защищена CI.
scripts/compare_visual_baseline.js,independently_adopted_visual,medium,false,false,keep_current_main,main/#165,Visual baseline и comparator были независимо извлечены и проверены на актуальном main.
scripts/generate_material_pages.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/generate_project_pages.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/generate_site_health_report.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/import_vk_posts.js,obsolete_vk_import,medium,false,false,keep_removed,main/#9,Старый импорт и дублирующий workflow признаны устаревшими; возвращать их нельзя.
scripts/lib/generated_page_cleanup.js,independently_adopted_generator_cleanup,high,false,false,keep_current_main,main/#9,Безопасная очистка производных страниц извлечена отдельным пакетом и защищена CI.
scripts/lib/project_legacy_redirects.js,protected_shared_core,critical,false,true,do_not_cherry_pick,current main,"Общий workflow, audit или generator изменился после развилки; допустим только новый малый PR от main."
scripts/test_generated_page_cleanup.js,independently_adopted_generator_cleanup,high,false,false,keep_current_main,main/#9,Безопасная очистка производных страниц извлечена отдельным пакетом и защищена CI.
site-health/index.html,stale_status_or_documentation,medium,false,true,rewrite_from_current_state,current main,Статус и отчёты старой ветки описывают уже изменившееся состояние проекта.
sitemap.xml,generated_or_derived_output,high,false,true,regenerate_from_current_main,current generators,Производный файл нельзя переносить из старой ветки; он должен создаваться актуальными генераторами.
