scenario_id,sequence,scenario_status,scenario_group,scenario_title,media_type_codes,participant_context_codes,publication_surface_codes,verification_question_codes,selected_permission_scope_code,selected_attribution_code,selected_duration_code,selected_withdrawal_route_code,decision_owner_role,legal_reviewer_role,evidence_ref,blocker,next_step
portrait_or_interview,1,draft,people,Портрет или интервью конкретного человека,photo;video;audio,identified_adult;featured_subject,tos_card;news;project;social_preview,who_is_depicted;which_surfaces;whether_name_is_used;whether_editing_is_allowed,,,,,,,,не определены объём публикации и допустимое использование имени,согласовать перечень поверхностей и вопросов к изображённому лицу
group_event_photo,2,draft,people,Групповая фотография мероприятия,photo;video,group_participants;organizers;visitors,news;done;calendar;social_preview,how_people_are_informed;whether_closeups_are_used;whether_names_are_listed;how_objections_are_handled,,,,,,,,не определены правила для общего плана крупных планов и подписей участников,описать варианты кадра и вопросы об информировании участников
minors_or_vulnerable_people,3,draft,people,Изображение несовершеннолетних или уязвимых участников,photo;video;audio,minor;guardian;vulnerable_person,news;done;project;social_preview,who_may_authorize;which_details_must_be_excluded;whether_face_or_voice_is_identifiable;which_surfaces_are_allowed,,,,,,,,не определены усиленные условия проверки и допустимые поверхности,передать сценарий на отдельную юридическую проверку до любой публикации
incidental_people_in_public_space,4,draft,public_space,Люди случайно попавшие в кадр общественного пространства,photo;video,incidental_person;crowd;passerby,tos_card;news;project;done,how_prominent_people_are;whether_context_is_sensitive;whether_cropping_or_blur_is_needed;whether_reuse_changes_context,,,,,,,,не определены критерии заметности и необходимости скрытия лиц,подготовить примеры общего плана и спорных кадров без реальных персональных данных
location_or_property_context,5,draft,public_space,Территория объект или двор с возможными личными деталями,photo;video,public_place;residential_context;property_detail,tos_card;project;need;done,which_addresses_or_numbers_are_visible;whether_private_property_is_identifiable;which_details_need_masking;whether_before_after_changes_risk,,,,,,,,не определены правила для адресных табличек номеров и частной территории,составить перечень деталей которые требуют удаления или дополнительной проверки
tos_logo_or_identity,6,draft,identity,Логотип эмблема или фирменный стиль ТОС,image;vector;document,tos_identity;author;chairperson,tos_card;news;documents;social_preview,who_created_or_controls_mark;which_versions_are_current;whether_modification_is_allowed;how_source_is_recorded,,,,,,,,не подтверждены авторство актуальная версия и допустимый объём изменения,согласовать вопросы об источнике версии и публичном использовании логотипа
partner_brand_identity,7,draft,identity,Логотип название или символика партнёра,image;vector;photo;document,partner_organization;brand_owner;sponsor,news;project;done;partner_thanks;social_preview,who_controls_brand;which_placement_is_allowed;whether_thanks_imply_endorsement;whether_layout_needs_approval,,,,,,,,не определены формат упоминания и допустимое размещение символики партнёра,подготовить нейтральные варианты упоминания и вопросы для согласования
poster_or_document_scan,8,draft,documents,Афиша грамота письмо или скан документа,image;pdf;document,document_author;issuer;mentioned_person,news;calendar;documents;done,which_personal_fields_are_visible;who_owns_document;whether_full_scan_is_needed;which_fragments_must_be_hidden,,,,,,,,не определены права на документ и перечень скрываемых полей,описать минимальный публичный фрагмент и вопросы об авторстве документа
third_party_or_archive_media,9,draft,third_party,Фото видео или изображение из стороннего или архивного источника,photo;video;image;audio,external_author;archive;publisher,news;history;places;documents,where_media_came_from;who_controls_rights;which_license_or_permission_applies;whether_attribution_is_required,,,,,,,,не подтверждены источник права и правила указания авторства,подготовить карточку происхождения медиа без копирования закрытой переписки
video_or_audio_recording,10,draft,audiovisual,Видео или аудиозапись выступления интервью или события,video;audio,speaker;participant;recording_author,news;calendar;project;done,who_is_recorded;whether_voice_and_name_are_used;whether_editing_or_excerpts_are_allowed;which_platforms_are_allowed,,,,,,,,не определены условия записи монтажа фрагментов и распространения,согласовать перечень способов использования и маршрут отзыва после утверждения решения №6
