field,value_received,can_publish,needs_followup,source_confirmed,action,notes
"Название ТОС","","да/нет/уточнить","","","проверить написание и совпадение с реестром",""
"Тип ТОС","","да/нет/уточнить","","","сверить городской/сельский",""
"Территория и границы","","да/нет/уточнить","","","публиковать только понятное описание без лишних личных адресов",""
"Председатель","","да/нет/уточнить","","","публиковать ФИО только если это открытая информация или есть согласие",""
"Публичный телефон","","да/нет/уточнить","","","публиковать только если прямо разрешено",""
"Email","","да/нет/уточнить","","","публиковать только если разрешено или email уже открыт публично",""
"Сообщество ВК/ОК","","да/нет/уточнить","","","проверить, что ссылка рабочая и относится к ТОС",""
"Логотип","","да/нет/уточнить","","","попросить файл или разрешение на использование",""
"Фото территории","","да/нет/уточнить","","","проверить право на публикацию, особенно если есть люди крупным планом",""
"Проекты и результаты","","да/нет/уточнить","","","проверить даты, суммы и источник, сомнительное оставить в черновике",""
"Потребности ТОС","","да/нет/уточнить","","","уточнить актуальность и кому можно обращаться",""
"Источник подтверждения","","да/нет/уточнить","","","указать кто и когда подтвердил сведения",""
