source_id,source_name,source_type,url,topics,authority_level,check_frequency,last_checked,status,publication_rule,next_step
src-001,Администрация Борисоглебского городского округа,official,https://govvrn.ru/org/administraciya-municipalnogo-rayona/adm-borisoglebskogo-go,"официальные контакты документы новости округа",primary,еженедельно,2026-06-24,available,"использовать документ или сообщение с датой; карточки ТОС сверять дополнительно",проверять новые документы и сообщения по ТОС
src-002,Правительство Воронежской области,official,https://govvrn.ru/,"региональные новости награды программы поддержка ТОС",primary,еженедельно,2026-06-24,available,"фиксировать URL дату публикации и относимость к БГО",искать публикации с прямым упоминанием Борисоглебского округа
src-003,Ассоциация Совет муниципальных образований Воронежской области,official_association,https://smovrn.ru/,"конкурсы проекты перечни участников методические материалы",primary,еженедельно,2026-06-24,available,"результаты конкурсов использовать только для указанного года и этапа",проверять новые конкурсные списки и нормативные материалы
src-004,Председатель или уполномоченный представитель ТОС,direct_confirmation,,"название территория председатель контакты проекты потребности результаты",primary,по поступлению,2026-06-24,channel_required,"сохранять дату канал объём разрешения и непубличные ограничения",вести через reply review consent и evidence register
src-005,Входящие материалы портала,editorial_intake,https://tosborisoglebsk.ru/content-intake/,"новости проекты потребности результаты карточки медиа",secondary,еженедельно,2026-06-24,available,"не публиковать до статуса ready в очереди",разбирать новые строки через publication queue
src-006,РИА Воронеж Борисоглебск,regional_media,https://borisoglebsk.riavrn.ru/,"местные события общественные проекты новости округа",secondary,еженедельно,2026-09-03,available,"использовать как сигнал или источник события; реквизиты ТОС подтверждать отдельно",проверять свежие материалы о ТОС и отделять подтверждение факта реализации от прав на повторное использование текста и фото
src-007,Блокнот Борисоглебск,local_media,https://bloknotborisoglebsk.ru/,"местные новости проекты и архивные упоминания ТОС",secondary,еженедельно,2026-09-04,available,"не считать публикацию официальным реестром; проверять дату и первоисточник; использовать собственный пересказ фактов",использовать для поиска кандидатов и последующей проверки
src-008,РИА Глас Борисоглебск,local_media,https://ria-glas.ru/,"местные события интервью справочные сведения о ТОС",secondary,еженедельно,2026-06-24,available,"цифры и состав ТОС перепроверять по официальному документу",отмечать материалы требующие официального подтверждения
src-009,Поисковая выдача и социальные сети,discovery,,"новые упоминания названия фото события контакты",discovery,еженедельно,2026-06-24,manual,"использовать только для обнаружения; не переносить факт без первичного источника",находить первоисточник и фиксировать его отдельной строкой
src-010,Вести Воронеж,regional_media,https://vestivrn.ru/,"региональные и местные общественные сюжеты проекты ТОС интервью",secondary,еженедельно,2026-09-03,available,"использовать собственный пересказ проверяемых фактов со ссылкой; не переносить текст видео изображения и персональные реквизиты без отдельного основания",проверять новые сюжеты по ТОСам БГО и искать первичные подтверждения для значимых цифр
src-011,Борисоглебские вести,local_media,https://borisoglebskie-vesti.ru/,"местные новости мероприятия благоустройство и деятельность ТОС",secondary,еженедельно,2026-09-03,available,"использовать как датированный источник события; не считать публикацию доказательством идентичности проектов с одинаковой темой и не копировать материалы без проверки прав",фиксировать свежие события и отдельно проверять связь с конкурсными или грантовыми проектами
src-012,Мой Борисоглебск,local_media,https://mybsk.ru/,"местные новости решения городской Думы проекты и события ТОС",secondary,еженедельно,2026-09-04,available,"использовать как датированный вторичный источник события; решения органов власти перепроверять по первичному документу при изменении карточек и реестровых данных",искать первичные решения и использовать публикации для безопасных source-backed новостей
src-013,АНО Образ будущего,official_grant_operator,https://obraz36.ru/,"конкурсы грантов ТОС допущенные заявки победители положения и методические документы",primary,еженедельно,2026-09-04,available,"этап конкурса фиксировать буквально по документу: подана допущена победила реализована — разные статусы; персональные поля карточек подтверждать отдельно",проверять конкурсные документы по ТОСам БГО и не повышать статус реализации без отдельного результата
