step,stage,required_input,output,owner_status,blocker_if_missing,next_action
1,"получение реестра","официальный файл или ответ с перечнем 46 ТОС","исходный файл сохранён и не редактируется","todo","нет исходного файла","запросить актуальный реестр через /data-requests/tos-registry-request/"
2,"фиксация источника","дата ответа, отправитель, должность или ссылка на документ","source_note для аудита","todo","непонятно происхождение данных","записать источник и дату до обработки"
3,"нормализация названий","название каждого ТОС из реестра","единое написание для сверки","todo","разные написания одного ТОС","свести варианты и сохранить исходное написание"
4,"дедупликация","46 строк реестра","список уникальных ТОС","todo","есть дубли или похожие названия","проверить вручную до импорта"
5,"сверка с текущим каталогом","24 опубликованные карточки и полный реестр","existing/missing/renamed для каждой строки","todo","непонятно, новая это карточка или переименование","сверить со страницей /registry-check/"
6,"тип территории","городской или сельский статус","обновление /registry-type-check/","todo","нет типа территории","запросить уточнение или оставить unknown"
7,"проверка контактов","председатель, телефон, email, публичная страница","поля для карточки или пометка private","todo","нет разрешения на открытую публикацию","проверить через /publication-consent/"
8,"создание новых карточек","подтверждённые missing-строки","черновики через /new-tos-card/","todo","нет официального названия или территории","не создавать карточку до подтверждения"
9,"обновление матрицы","подтверждённые источники и разрешения","строки evidence/readiness обновлены","todo","нет статуса accepted по обязательным условиям","обновить /verification-evidence/ и /verification-readiness/"
10,"публикационный контроль","готовые карточки и открытые данные","обновлённый каталог и аудит","todo","не проверены ссылки или статусы","проверить после публикации и обновить аудит"
