area,page_or_file,current_state,freshness_risk,source_required,review_frequency,status,next_step
Каталог ТОС,/tos/ и data/toses.json,24 карточки при публичной цифре 46 ТОС,high,официальный реестр или прямое подтверждение председателя,ежемесячно,needs_update,сверить через registry-intake и registry-diff после получения реестра
Карточки verified,data/toses.json,0 подтверждённых карточек,high,журнал доказательств и матрица готовности,ежемесячно,blocked,не повышать статус без 6 из 6 условий
Новости,/news/ и data/news.json,публикации требуют подтверждения актуальности,medium,сообщение ТОС или открытый официальный источник,еженедельно,pending,публиковать только новости с датой и источником
Проекты,/projects/ и data/projects.json,часть данных может быть рабочими заготовками,medium,подтверждение ТОС или проектный документ,ежемесячно,pending,отделить актуальные проекты от черновиков
Потребности,/needs/ и data/needs.json,потребности могут быстро устаревать,high,актуальное подтверждение от ТОС,ежемесячно,needs_review,закрыть или обновить устаревшие потребности
Сделано,/done/ и data/done.json,истории результата требуют фактов и дат,medium,фото разрешение дата работ и подтверждение,ежемесячно,pending,публиковать только подтверждённые истории
Медиа,/media-intake/ и data/media_intake_register.csv,реальные фото и логотипы отсутствуют,high,файл автор правообладатель разрешение,ежемесячно,missing,собирать через media-intake
Реестр,/registry-check/ /registry-intake/ /registry-diff/,официальный реестр ещё не внесён,high,официальный перечень 46 ТОС с датой актуальности,после получения реестра,blocked,не создавать новые карточки без реестра
Домен,/domain-check/ и data/domain_access_check.csv,нужна внешняя ручная проверка домена и www,medium,внешняя HTTP-проверка и GitHub Pages settings,ежемесячно,pending,проверить вне текущего окружения
Открытые данные,/open-data/ и data/*.csv,много рабочих CSV требуют понятного статуса,medium,контроль после публикации,после каждого обновления,pending,проходить post-publish-check
